 I 	 hd 
2,58	11,20
3,59	15,00
4,61	16,40
5,63	18,50
2,58	11,10
3,59	15,30
4,61	17,50
5,63	19,70
2,62	15,00
3,64	17,20
4,65	21,30
5,67	23,60
6,30	24,20
2,62	12,30
3,64	16,30
4,65	18,90
5,67	21,60
6,30	21,80
2,62	12,60
3,64	15,30
4,65	18,10
5,67	21,20
6,30	24,70
2,61	14,30
3,63	17,50
4,64	18,00
5,66	21,60
6,29	23,00
2,61	15,60
3,63	19,40
4,64	20,50
5,66	23,50
6,29	24,30
2,61	13,60
3,63	16,50
4,64	18,90
5,66	21,70
6,29	23,50
2,69	15,10
3,71	20,80
4,72	22,30
5,74	24,30
6,37	26,30
2,66	15,74
3,68	23,3
4,69	26,06
5,71	29,7
6,34	30,06
